,Tweets,Sentiments
0,"RT @ajamubaraka: The U.S. &amp; NATO under Obama as Black face for white power, attacked &amp; destroy Libya -  at the time the most prosperous Afr…",Positive
1,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
2,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
3,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Negative
4,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
5,The Obama Lesson Democrats Try to Forget https://t.co/WJ1CLqaIbT via @WSJOpinion,Negative
6,Why is Obama anywhere on the political scene directing business? He isn't anti energy or concerned about emissions.… https://t.co/hMQKpGZnMy,Positive
7,"Our government is set up to protect the interests of the wealthy. It’s why nothing substantial changed under Obama,… https://t.co/MShAPcVtak",Positive
8,"@ltgrusselhonore @CNN @POTUS It’s all the same, if not a CNN reporter, host dissing the President, Democrats, they… https://t.co/1Fif5RRYi7",Negative
9,RT @ryancapperauld: Obama blaming the rise of nationalism across the world for less global cooperation on the environment at a speech in Sc…,Positive
10,RT @NewsHour: Obama noted efforts by the U.S. — the world’s second-worst climate polluter now after China — stalled when Trump pulled out o…,Negative
11,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
12,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Positive
13,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
14,"RT @AdamBandt: Last night at COP26 Barack Obama said “vote like your life depends on it, because it does.”

Today, Scott Morrison’s approva…",Positive
15,"This is cool, who’s playing Obama though ? https://t.co/FjUSbRaLOh",Positive
16,"@Ghoulsli @CourtneyBanks 1""Regarding his own story, Obama has promoted falsehoods at every step.""
The OSS psycholog… https://t.co/Rx1d1d2qX4",Negative
17,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
18,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
19,@BTitch_Bits777 @AmberGDay @Strandjunker Was going to say that didn’t happen — looked it up. During Pres. Obama’s t… https://t.co/pcifrARtOH,Positive
20,"RT @OgbeniDipo: ""You can't ignore politics. While protesting and hashtags raise awareness, you should get involved in politics at some leve…",Negative
21,"RT @LangmanVince: If Obama is overseas at the phony climate change summit 
Who's running the country?",Negative
22,travis was trying to remember obama’s last name in his apology video,Negative
23,RT @nottramar: Viola Davis is so fucking funny for doing this face while playing Michelle Obama https://t.co/6GtnMcgyOn,Negative
24,RT @edinburghpaper: President Barack Obama claimed he was on the Emerald Isle during his speech at COP26 in Glasgow. https://t.co/ZnwBfr9DQk,Negative
25,RT @JesseKellyDC: The true believers in “climate change” are so much more embarrassing than Obama. Obama just uses you all like chumps to e…,Negative
26,"RT @IndieWire: Here's your first look at Viola Davis as Michelle Obama, Michelle Pfeiffer as Betty Ford, and Gillian Anderson as Eleanor Ro…",Negative
27,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
28,RT @Rooster_Crowing: How much money will Kate Steinles family get for her being separated from them by Democrat policies….It was the Obama/…,Positive
29,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
30,"RT @angeladewan: First on CNN: Obama is expected to express regret for Trump's ""four years of active hostility towards climate science"" but…",Negative
31,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
32,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
33,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Negative
34,RT @Phil_Lewis_: Viola Davis has got Michelle Obama’s smirk down https://t.co/ae2fBo9N5n,Positive
35,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
36,"RT @TPostMillennial: After flying to a climate summit in a private jet, Obama says “I can afford to give up a lot of my current lifestyle t…",Positive
37,.@BarackObama Obama Travels to Glasgow to Lecture the World on Climate Change After Purchasing Waterfront Estate on… https://t.co/EHY9T0yi0d,Negative
38,nuts mrs.Obama tho u gotta body it https://t.co/ejYBZz1IN0,Positive
39,RT @seanhannity: Obama: “I can afford to give up a lot of my current lifestyle to benefit the planet because I’ll still have a lot left ove…,Positive
40,"RT @davidharsanyi: It takes some nuclear-powered audacity for Barack Obama, of all people, to whine about unilateral governance. https://t.…",Positive
41,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
42,"Obama's there so Ol Joe can sleep and fart.- Obama arrives at #COP26 U.N. ""climate summit"" in Scotland.

@disclosetv https://t.co/1NtysIeNTg",Negative
43,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Negative
44,RT @jai_lies: To be clear Nader didn’t author the article @Thom_Hartmann did. He’s been doing great work on the privatization of Medicare b…,Negative
45,Idk how to feel about Obama talking about climate change. Gotta look more into him I guess,Negative
46,"RT @TomBevanRCP: Obama on June 3, 2008: ""I am absolutely certain that, generations from now, we will be able to look back and tell our chil…",Negative
47,"RT @FilmUpdates: First look at Viola Davis as Michelle Obama, Michelle Pfeiffer as Betty Ford, and Gillian Anderson as Eleanor Roosevelt in…",Negative
48,RT @CINEMA505: Viola Davis como Michelle Obama em 'The First Lady'. https://t.co/nRBiVnELhL,Negative
49,RT @DanaRohrabacher: @ambjohnbolton Kudos for lifting U.S. sanctions on Eritrea. The question is not that the sanctions should be lifted by…,Positive
50,"TRUMP DIDNT SEPERATE NO FAMILIES THAT WAS BAROCK OBAMA AND JOE BIDEN HAD CAGES MADE AND PUT THEM IN THEM , IF BIDEN… https://t.co/ANWDzAdzAt",Negative
51,RT @jai_lies: if the story of the rise of the right wing doesn’t include Obama bailing out the banks and abandoning millions who were under…,Negative
52,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
53,@Vinylfan3 @seanhannity Right that was my point.  Funny how the IG report singled out the Trump for the cages and p… https://t.co/NeXGzozaRM,Negative
54,RT @USPatriotSerena: Michelle Obama was an exemplary First Lady,Positive
55,"RT @JDBalartMSNBC: ""I recognize we're living in a moment when international cooperation has waned,"" President Obama says at the COP26 inter…",Negative
56,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Positive
57,Obama  An ever arrogant asshole! https://t.co/KJp9exESiS,Negative
58,RT @Phil_Lewis_: Viola Davis has got Michelle Obama’s smirk down https://t.co/ae2fBo9N5n,Negative
59,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
60,"RT @MSNBC: ""We can't afford to stay where we are. The world has to step up and it has to step up now. ... Climate change can't be seen anyw…",Negative
61,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Positive
62,i can NOTTTTT get over the viola davis michelle obama photos like why did she do the face so well 😭😭😭😩😩😩,Positive
63,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
64,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
65,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Negative
66,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Negative
67,"RT @GBullstein: No one cares what you got to say Mr Obama, go away 😴",Positive
68,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
69,"@cosmobiologist Now they want 500,000 just for a trip just outside the stratosphere…. Thanks a lot Obama",Negative
70,"RT @Alex_Verbeek: 🌎

Obama tells young people at COP26: “I want you to stay angry” 

He urged the youth to keep applying political pressure…",Positive
71,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Negative
72,@BillOReilly CNN again put Trump down through Obama. What is going on here?  Guess Obama doesn’t think Biden is doi… https://t.co/CbT1NzsjJu,Positive
73,Barack Obama Travels to Glasgow to Lecture the World on Climate Change After Purchasing Waterfront Estate on Martha… https://t.co/VmVj21oQ1Y,Negative
74,obama please stop the car i don't want to go to são carlos,Negative
75,"RT @TPostMillennial: After flying to a climate summit in a private jet, Obama says “I can afford to give up a lot of my current lifestyle t…",Negative
76,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
77,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
78,"@Dianeli25262531 @GeorgePapa19 No. This scandal needs to be addressed. Obama, Biden, Rice, Comey (FBI), Brennan (CI… https://t.co/4WcxfnJSGl",Positive
79,"RT @JunkScience: Obama says 'act now' to help island nations at #COP26.

Reality check: 

The Maldives, for example, has gained 37 square k…",Positive
80,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
81,"RT @emzanotti: From a quick Google search, it appears Obama has spent nearly $25 million securing beachfront property, which would be an in…",Negative
82,"@hugolowell If Merrick Garland thinks he’s gonna come in office and bring back humanity, civility, and the separati… https://t.co/alt4AGqzKt",Negative
83,"RT @vanessa_vash: Mr @BarackObama, I was 13 when you promised $100B #ClimateFinance. The US has broken that promise, it will cost lives in…",Negative
84,"RT @AshaMohammed_: Here at #COP26 waiting to hear from President Obama, who has been very vocal on issues around #climatechange- having cha…",Positive
85,"RT @Lowkey0nline: As president, Obama gave $700bn in subsidies to fossil fuel companies yearly, while spending only 0.2% of the national bu…",Negative
86,RT @peacenotwar786: @BarackObama  #Obama  why he's @ #COP26  how many innocent #Muslims he killed with #drone strikes in #Pakistan  #Afghan…,Positive
87,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
88,"Obama represents what?
The Taliban? https://t.co/SgNvMrNNjk",Positive
89,"RT @chrisacorbett: @CarCarr5 @AdifferentRubio If Obama really believe the sea waters were rising, why did he buy a beach house?",Negative
90,"@FistedBy Dates back the Obama years. Can't blame them for panicking though, BDS and similar orgs have been incredi… https://t.co/DYe7V7MCSm",Positive
91,"RT @RealCourtdog: Search “obama” on Twitter and see what account shows up in the first or second on the list…

Reply if you see what I see…",Negative
92,RT @PopBase: First look at Viola Davis as Michelle Obama in ‘The First Lady’. https://t.co/ef54pEXIxF,Negative
93,RT @Wass2020: They sent out the big guns to defend the boss tonight. Obama speech has hit a nerve. #Nationalism,Positive
94,We don’t care what Barack Obama has to say and the past presidents need to stay out of our Government Business caus… https://t.co/xpfDnvdjkI,Negative
95,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Positive
96,"RT @joshrogin: President Obama decides not to leave politics at the water's edge. In Glasgow, he says the GOP has an ""active hostility for…",Positive
97,RT @Phil_Lewis_: Viola Davis has got Michelle Obama’s smirk down https://t.co/ae2fBo9N5n,Negative
98,"RT @BBCWorld: ""We are nowhere near where we need to be yet""

Former US President Barack Obama says most countries have ""failed to meet acti…",Negative
99,"RT @ajamubaraka: The U.S. &amp; NATO under Obama as Black face for white power, attacked &amp; destroy Libya -  at the time the most prosperous Afr…",Positive
100,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
101,RT @Phil_Lewis_: Viola Davis has got Michelle Obama’s smirk down https://t.co/ae2fBo9N5n,Positive
102,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
103,Obama is like a old high school basketball player trying to relive the only game he ever scored a basket!,Positive
104,RT @Veritatem2021: COP26: so Barack Obama thinks that urging young people to stay angry and  frustrated is good for their physical and ment…,Positive
105,"RT @AdamBandt: Last night at COP26 Barack Obama said “vote like your life depends on it, because it does.”

Today, Scott Morrison’s approva…",Positive
106,"RT @emzanotti: From a quick Google search, it appears Obama has spent nearly $25 million securing beachfront property, which would be an in…",Negative
107,"RT @nowthisnews: Pres. Obama’s message to young people fighting for climate action: ‘I want you to stay angry, I want you to stay frustrate…",Positive
108,"@solastsummer2 @nytimes False. They were higher during GWB's term. Multiple sources corroborate this, including the… https://t.co/VzKnIQvyGd",Negative
109,"RT @MeetThePress: WATCH: Former President Obama speaks at the U.N. climate summit. #MTPDaily

""We can't afford to stay where we are. The wo…",Negative
110,"RT @MrDanZak: “I am John Kerry’s hype man today,” Obama told a gathering of delegates before his speech. “I am John Kerry’s DJ Khaled.” 

F…",Positive
111,no i ate a homeless mans liver in a fit of rage thanks obama https://t.co/hqDfjTGXhZ,Negative
112,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Positive
113,Ima get em! OBAMA!,Negative
114,"RT @FilmUpdates: First look at Viola Davis as Michelle Obama, Michelle Pfeiffer as Betty Ford, and Gillian Anderson as Eleanor Roosevelt in…",Positive
115,RT @CBSNews: Former Pres. Barack Obama faulted U.S. rivals China and Russia during remarks at the UN COP26 climate summit for what he calle…,Positive
116,RT @KatiePavlich: Barack Obama owns an energy guzzling mansion on the ocean in Martha’s Vineyard. The elites aren’t afraid of “climate chan…,Positive
117,"RT @RT_com: Obama demands urgency on climate, but says nothing about carbon footprint of bombing campaigns https://t.co/hfi2zTEA8u",Positive
118,"RT @PoliticallyPaul: Scottish nationalists should ask themselves the question: did @BarackObama mean them, too?

Yes, he did.https://t.co/G…",Positive
119,"RT @Lorna_TVeditor: Showtime's The First Lady is set for spring 2022. 
The first season will focus on Michelle Obama (Viola Davis), Betty F…",Positive
120,"RT @cnnbrk: Former President Barack Obama will use his speech at today's COP26 talks to express regret for four years under Trump of ""activ…",Positive
121,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
122,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
123,"RT @AdamBandt: Last night at COP26 Barack Obama said “vote like your life depends on it, because it does.”

Today, Scott Morrison’s approva…",Positive
124,RT @JesseKellyDC: The true believers in “climate change” are so much more embarrassing than Obama. Obama just uses you all like chumps to e…,Negative
125,RT @LukewSavage: Stuff like this would be a lot more convincing if Obama hadn't quite literally spiked oil and gas production during his pr…,Positive
126,RT @nottramar: Viola Davis is so fucking funny for doing this face while playing Michelle Obama https://t.co/6GtnMcgyOn,Positive
127,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Positive
128,RT @TomFitton: Hillary did it (with Obama/Biden)..... https://t.co/0HCgEbcO8h,Positive
129,"RT @thehill: Former President Obama: ""Protests are necessary to raise awareness. Hashtag campaigns can spread awareness, but to build the b…",Negative
130,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
131,"RT @vanessa_vash: Mr @BarackObama, I was 13 when you promised $100B #ClimateFinance. The US has broken that promise, it will cost lives in…",Negative
132,@BarackObama  #Obama  why he's @ #COP26  how many innocent #Muslims he killed with #drone strikes in #Pakistan… https://t.co/2QdegnljZP,Negative
133,"RT @wingdigit: ""Cynicism is the recourse of cowards"" Obama.
That, ""theres nothing we can do"" ain't gonna get it.
The young will have to lea…",Negative
134,Tell him to call Obama and thank him for it https://t.co/XpPy40Xwj0,Negative
135,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Negative
136,@RexChapman I voted for Obama and Trump twice!,Positive
137,"In pictures: Battlefield residents shine a light on climate change | News - Clyde 1
#COP26 #COPGlasgow #Obama… https://t.co/KeZ2BdERYM",Positive
138,RT @Phil_Lewis_: Viola Davis has got Michelle Obama’s smirk down https://t.co/ae2fBo9N5n,Negative
139,@newsmax Did Obama have an investment in the agreement?  The feud between Obama and Trump goes back for years. I wo… https://t.co/ZjE77T5f5v,Positive
140,RT @SaraCarterDC: Obama Tells Youth To Be Angry and Frustrated https://t.co/zyNFkBoybr,Negative
141,"RT @disclosetv: NOW - Obama on ""climate change"" at #COP26: ""The first and most important is... vote like your life depends on it."" https://…",Negative
142,"RT @Kat4Obama: ""Obama was received at COP26 like a head of state, drawing more onlookers in the conference complex than Prince Charles and…",Negative
143,RT @seanhannity: Obama: “I can afford to give up a lot of my current lifestyle to benefit the planet because I’ll still have a lot left ove…,Positive
144,@nytimes Not satisfied with dividing America 🇺🇸 Obama launches his “DIVIDE THE WORLD TOUR”,Negative
145,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
146,"https://t.co/2GioILibMV

In an address to the U.N. Climate Change Conference, former President Barack Obama returne… https://t.co/oAy5qBnXZt",Positive
147,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Positive
148,"RT @AdamBandt: Last night at COP26 Barack Obama said “vote like your life depends on it, because it does.”

Today, Scott Morrison’s approva…",Negative
149,"RT @Lowkey0nline: As president, Obama gave $700bn in subsidies to fossil fuel companies yearly, while spending only 0.2% of the national bu…",Positive
150,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Negative
151,RT @Veritatem2021: COP26: so Barack Obama thinks that urging young people to stay angry and  frustrated is good for their physical and ment…,Positive
152,"RT @GrayConnolly: Even after 8 years as President, Obama has this almost unworldly naivete - perhaps he really did believe all his own nons…",Positive
153,"RT @joshrogin: President Obama decides not to leave politics at the water's edge. In Glasgow, he says the GOP has an ""active hostility for…",Negative
154,RT @people: Barack Obama Urges Young People to 'Stay Angry' About Climate Change: 'The World Is Full of Gretas'  https://t.co/n2qqRrsslF,Positive
155,"RT @BBCWorld: ""We are nowhere near where we need to be yet""

Former US President Barack Obama says most countries have ""failed to meet acti…",Positive
156,@Ciroc_Obama @disorderedstar @mr_blah_blah__ I got mine last week 😳,Negative
157,RT @JesseKellyDC: The true believers in “climate change” are so much more embarrassing than Obama. Obama just uses you all like chumps to e…,Negative
158,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
159,"RT @Reuters: In a speech at #COP26, former U.S. President Barack Obama criticized China and Russia for their 'lack of urgency' in curbing e…",Positive
160,RT @BBCWorld: “In the US alone more than 3m people now work in clean energy... more than the number of people currently employed by the ent…,Negative
161,RT @KatiePavlich: Barack Obama owns an energy guzzling mansion on the ocean in Martha’s Vineyard. The elites aren’t afraid of “climate chan…,Positive
162,"RT @disclosetv: NOW - Obama on ""climate change"" at #COP26: ""The first and most important is... vote like your life depends on it."" https://…",Positive
163,"RT @AvengerResister: If you find yourself agreeing with former President Obama, let’s follow each other.",Negative
164,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
